beat%1:15:00::	https://en.wikipedia.org/wiki/Beat_(police)
beat%1:19:00::	https://en.wikipedia.org/wiki/Beat_(acoustics)
beat%1:10:00::	https://en.wikipedia.org/wiki/Beat_(music)
employment%1:26:00::	https://en.wikipedia.org/wiki/Employment
light%1:19:00::	https://en.wikipedia.org/wiki/Light
light%1:06:00::	https://en.wikipedia.org/wiki/Light

one%1:23:00::	https://en.wikipedia.org/wiki/1
one%5:00:00:cardinal:00	https://en.wikipedia.org/wiki/1


past%1:28:00::	https://en.wikipedia.org/wiki/Past
past%1:10:00::	https://en.wikipedia.org/wiki/Past_tense




